Title,Header,Content,Mentioned_Countries,Mentioned_Swiss_Cities,Sentiment,Confidence,Original_Sentiment,Sentiment Score
dix-huit prevenus condamnes dans laffaire du camion charnier,justice francaise,"un dessein purement lucratif. dix-huit des 19 personnes jugees pour leur participation a un vaste reseau dimmigration clandestine du vietnam vers leurope ont ete condamnees, vendredi, a paris, a des peines allant du sursis a dix ans demprisonnement ferme. parmi eux, quatre vietnamiens ont ete condamnes pour homicides involontaires lors de la tragedie du camion charnier, dans lequel 39 migrants avaient ete trouves morts en angleterre, dans la nuit du 22 au 23 octobre 2019. vous etiez impliques au premier plan de lorganisation de traversees de personnes en situation de precarite dans lespoir dune vie meilleure, a martele la presidente du tribunal. contre ces quatre prevenus, le tribunal a prononce des peines de neuf a dix ans demprisonnement, assorties dinterdiction definitive du territoire national. vous avez cree les conditions qui ont conduit au deces de ces personnes. si elles avaient ete moins nombreuses, peut-etre auraient-elles survecu, a ajoute la presidente. pour lavocat de tony, condamne a dix ans de prison, cette peine est un veritable coup de massue. on considere donc que des hebergeurs ont la meme responsabilite quun passeur, a declare lhomme de loi. le tribunal a condamne les quatre autres prevenus vietnamiens  dont deux absents au proces et consideres en fuite , responsables de lorganisation du transport et de lhebergement des migrants, a des peines dun a dix ans de prison ferme. pendant plus de trois semaines, 19 prevenus etaient juges a paris pour aide a lentree, a la circulation ou au sejour irregulier dun etranger en france, commise en bande organisee, ainsi que pour association de malfaiteurs. des delits passibles de dix ans demprisonnement. tous les autres prevenus ont ete relaxes pour lassociation de malfaiteurs, mais ont ete condamnes pour aide au sejour irregulier commise en bande organisee. les peines prononcees contre sept chauffeurs de taxi vont de six mois de prison avec sursis a trois ans demprisonnement, dont deux avec sursis, assorties damendes. cette tragedie a jete une lumiere crue sur les risques de lexil via des filieres clandestines. le matin du 22 octobre 2019, 31 hommes et huit femmes, ages de 15 a 44 ans, tous originaires du vietnam, etaient montes dans une remorque, dans le nord de la france. le conteneur etait parti du port belge de zeebruges, en direction de langleterre, ou a eu lieu la macabre decouverte apres une nuit de voyage, le 23 octobre 2019, dans la zone industrielle de grays, a lest de londres. les migrants avaient ete retrouves morts dasphyxie et dhyperthermie.","{'viet nam', 'france', 'royaume-uni'}",set(),neutral,0.5055930614471440,positive,0
elle sengage sur lautoroute avec le reservoir presque vide et se crashe,argovie,"malgre un signal lumineux indiquant que le stock de carburant etait faible, une femme a emprunte jeudi en debut de soiree lautoroute a1. a la hauteur de spreitenbach, ca a ete la panne seche et la conductrice sest arretee sur la voie de droite. cest alors quun camping-car a embouti avec violence larriere du vehicule en panne. la conductrice sest plainte de douleurs aux cervicales indique la police cantonale. une ambulance la conduite a lhopital. sa voiture a ete completement endommagee. le camping-car a egalement ete gravement endommage. la police cantonale dargovie rappelle que celui qui roule sur lautoroute avec le reservoir presque vide et qui sarrete en raison dune panne seche se rend coupable de conduite dun vehicule en etat defectueux. la police cantonale a denonce la jeune femme de 44 ans au parquet et lui a retire provisoirement son permis de conduire. en general, selon les cantons, une telle infraction est sanctionnee par un mois de retrait de permis et une amende.",{'suisse'},{'spreitenbach'},negative,0.9286001920700070,negative,-1
"au portugal, la course au poste de premier ministre est lancee",politique,"les principaux partis ont commence vendredi a se mettre en ordre de bataille au portugal, a quatre mois des elections legislatives anticipees visant a surmonter la crise causee par la demission du premier ministre socialiste antonio costa, eclabousse par un scandale de corruption. a la tete du parti socialiste, la course a la succession dantonio costa est lancee. le parti sest reuni des jeudi soir, juste apres lannonce du president, le conservateur marcelo rebelo de sousa, qui a decide de dissoudre le parlement et de convoquer des elections legislatives anticipees le 10 mars prochain. le parti a decide de choisir un nouveau leader lors delections directes internes prevues le 15 et 16 decembre avant de tenir un congres le 6 et 7 janvier. jose luis carneiro, actuel ministre de linterieur, est le premier a avoir annonce sa candidature au poste de secretaire general du ps. pedro nuno santos, chef de file de laile gauche du ps, devrait egalement bientot annoncer sa candidature, selon les medias. ancien ministre des infrastructures dantonio costa, pedro nuno santos avait demissionne fin decembre apres avoir ete implique dans le scandale tapgate, suite a des revelations sur le versement de lindemnite de depart verse a une administratrice de la compagnie aerienne tap, sous la tutelle de son ministere. de son cote, le principal parti de lopposition de droite affirme travailler sur son programme electoral depuis plusieurs mois et prevoit quil sera pret pour la campagne electorale qui se deroulera du 25 fevrier au 8 mars. nous sommes bien avances, a indique a lagence lusa pedro duarte, le coordinateur du conseil strategique national du parti social-democrate. interroges par le quotidien publico, des responsables des instituts de sondages ont estime peu probable quun parti puisse obtenir une majorite absolue a lissue de ce scrutin. le dernier sondage, publie en octobre par linstitut aximage pour la chaine cnn portugal, donnait aux partis de gauche 40,9% des intentions de vote et 44,3% pour toute la droite reunie. le portugal a plonge dans une crise politique apres la demission surprise mardi du premier ministre, eclabousse par un scandale qui a conduit a la mise en examen de son chef de cabinet, limoge depuis, et de son ministre des infrastructures. lenquete porte notamment sur des soupcons de corruption et de trafic dinfluence dans lattribution de concessions pour lextraction de lithium et la production dhydrogene vert. au pouvoir depuis 2015, antonio costa, qui nie toute illegalite dans cette affaire, avait profite dune conjoncture favorable pour detricoter les mesures dausterite mises en uvre par la droite en echange dun plan de sauvetage international accorde en 2011, tout en continuant a assainir les comptes publics. apres sa victoire le 30 janvier 2022, qui lui a donne une majorite absolue censee garantir la stabilite de son gouvernement, lex-premier ministre costa a vu sa popularite seroder en raison de scandales a repetition.",{'portugal'},set(),neutral,0.5102155208587650,positive,0
"le vote de journalistes, dont celui de la rts, a surpris deschamps",ballon d'or,"dans le debat haaland-messi pour le ballon d'or 2023, didier deschamps aurait opte pour le troisieme larron, kylian mbappe. pour lui, l'attaquant vedette du paris saint-germain et de l'equipe de france aurait du recevoir la recompense individuelle ultime qui est revenue a lionel messi pour la huitieme fois. avec ce qu'il a realise, il aurait merite de le gagner. qu'il soit troisieme, c'est une deception. mais je ne dis pas que messi ne l'a pas merite et que haaland ne l'aurait pas merite, a declare deschamps, dans le cadre d'une interview avec bein sports, qui sera diffusee le 29 novembre prochain. apres, ce sont des votes des journalistes du monde entier et j'etais pour le moins surpris, voire un peu plus du vote de certains, a-t-il lance, apres avoir consulte le detail des votes publie par france football. parmi les 92 votants, 8 n'ont pas accorde de voix au capitaine de l'equipe de france. il s'agit des journalistes representant l'algerie, la bosnie-herzegovine, le danemark, le liban, la guinee equatoriale, la norvege, le panama... et la suisse. ne pas mettre kylian mbappe dans les cinq premiers, c'est vraiment... je ne vais pas utiliser le terme malhonnetete, mais on n'en est pas loin quand meme, a fustige deschamps. le selectionneur des bleus n'a donc pas goute a la selection du journaliste de la rts, christophe cerf, detenteur du vote suisse, et qui a choisi dans l'ordre erling haaland, vinicius jr., yassine bounou, bernardo silva et bukayo saka.","{'france', 'panama', 'bosnie-herzegovine', 'norvege', 'liban', 'suisse', 'danemark', 'guinee equatoriale'}",set(),neutral,0.5656424164772030,positive,0
la premiere ministre refuse de hausser le salaire des ouvriers du textile,bangladesh ,"la premiere ministre du bangladesh, sheikh hasina, a refuse toute nouvelle hausse du salaire minimum des ouvriers du textile qui continuent dexiger quil soit quasiment triple, apres plus de dix jours de manifestations et de heurts avec la police. je dirais aux ouvriers du textile quils doivent travailler et faire avec cette augmentation de salaire, ils devraient continuer leur travail, a declare sheikh hasina, lors dune reunion de son parti, la ligue awami, tard jeudi soir. mardi, le comite du salaire minimum du secteur textile a augmente de 56,25% le salaire mensuel de base des quatre millions douvriers du secteur, le portant a 12500 takas (environ 100 francs), un montant juge ridicule et aussitot rejete par les syndicats. les ouvriers du textile manifestent pour un quasi-triplement du salaire minimum, actuellement de 8300 takas (environ 66 fr.) a 23000 takas (pres de 183 fr.). sils descendent dans la rue pour protester a linstigation de quelquun, ils perdront leur emploi, leur travail et devront retourner dans leur village, a ajoute sheikh hasina. selon les syndicats, les ouvriers souffrent durement de linflation, qui a atteint pres de 10% en octobre, et de la depreciation denviron 30% du taka par rapport au dollar americain, depuis le debut de lan dernier. mais la premiere ministre a argumente que la hausse proposee au secteur du textile etait bien superieure a celle da peine 5% dont ont beneficie les fonctionnaires. au moins trois ouvriers sont morts et six policiers ont ete blesses et plus de 70 usines ont ete saccagees, selon la police, en un peu plus de dix jours de violentes manifestations. la puissante femme politique a deplore que 19 usines aient ete attaquees et detruites, soulignant quil sagissait dentreprises qui leur donnaient la subsistance, de la nourriture et du travail. mais les syndicats affirment que la hausse du salaire offerte cette semaine est insuffisante par rapport a la flambee des prix de lalimentation, des loyers et des frais de sante et de scolarite pour leurs enfants. les quelque 3500 usines textiles du bangladesh, employant majoritairement des femmes, produisent 85% des 51 milliards deuros dexportations annuelles du pays et fournissent de nombreuses grandes marques mondiales, comme levis, zara (groupe inditex) ou encore h&m. si ces usines sont fermees, si la production est perturbee, les exportations sont perturbees, ou iront leurs emplois? ils doivent le comprendre, a aussi fait valoir sheikh hasina. le textile est une industrie cle du bangladesh, deuxieme exportateur mondial de vetements derriere la chine.",{'bangladesh'},set(),negative,0.8110496401786800,negative,-1
50000 civils deplaces en raison des combats dans le nord,birmanie,"pres de 50000 civils ont ete deplaces par les affrontements dans le nord de la birmanie, ou une alliance armee de groupes ethniques minoritaires a lance fin octobre une offensive denvergure contre la junte, ont indique vendredi les nations unies. au 9 novembre, pres de 50000 personnes dans letat shan (nord) ont ete forcees a se deplacer, a indique le bureau de la coordination des affaires humanitaires de lonu, qui avait evoque 23000 deplaces la semaine derniere. les combats, qui ont eclate pres de la frontiere avec la chine, representent une menace militaire dune ampleur inedite depuis le coup detat de 2021 pour les generaux, selon des analystes. myint swe, le president birman soutenu par la junte, a evoque un risque dimplosion du pays si larmee ne parvenait pas a retablir la stabilite, dans un discours relaye jeudi par un media detat. lunion formee par larmee de liberation nationale taaung (tnla), larmee darakan (aa) et lalliance democratique nationale du myanmar (mndaa) a revendique la prise de dizaines de positions militaires, ainsi que de plusieurs routes. ces groupes ont notamment pris le controle de la ville frontaliere de chinshwehaw, strategique pour les echanges avec la chine, le principal partenaire commercial de la birmanie. la junte a confirme cette perte. lacces au compte-gouttes aux moyens de communication, dans cette region dominee par la jungle et les montagnes, rend difficile toute demarche de verification sur le nombre de victimes liees aux combats. des affrontements entre la junte et ses opposants dans deux regions voisines, la region de sagaing et letat kachin, ont provoque le deplacement de quelque 40000 autres personnes depuis debut novembre, ont par ailleurs indique les nations unies.","{'chine', 'birmanie'}",set(),neutral,0.5763520002365110,negative,0
drame des verrieres: les deux enfants ont ete indemnises,canton de neuchatel,"larticle 11 de la loi sur laide aux victimes dinfractions (lavi) permet a la victime dune infraction commise en suisse de demander une indemnisation et une reparation morale dans le canton dans lequel le delit a ete commis. cest ce qui sest passe pour deux enfants qui avaient perdu leur mere, assassinee en meme temps que son nouvel ami, par leur pere aux verrieres (ne) en 2017. une fille du couple avait meme assiste au drame. cette reparation morale est une contribution de solidarite financee par les pouvoirs publics en reconnaissance des souffrances subies par la victime, rappelle loffice federal de la justice. ages de 9 et 11 ans au moment du drame, les enfants ont du suivre une psychotherapie, explique arcinfo avant de citer la motivation de letat justifiant le versement de ces indemnites: sur le plan psychique, de tels faits sont totalement destructeurs pour des enfants. en 2022, le canton de neuchatel a verse 199000 francs de reparation morale pour 21 dossiers, rappelle le quotidien neuchatelois. cet automne, outre les enfants des verrieres (ne), deux autres victimes ont obtenu des indemnisations au sens de la lavi, dans le canton. ainsi, un homme qui a partiellement perdu la vue apres avoir recu un coup de poing a un il a touche 4500 francs, tandis quune fille de 15 ans victime de contraintes sexuelles a obtenu 4000 francs.",{'suisse'},{'neuchatel'},neutral,0.7123968005180360,negative,0
situation revenue a la normale sur la ligne lausanne  geneve,travaux termines aux cff,"quelques eventuels retards et des compositions de trains inhabituelles, mais sinon, rien a signaler ce vendredi matin du cote des cff. apres la grosse panne qui a provoque larret complet du trafic pendant plusieurs heures a travers la gare de renens jeudi, la situation est revenue a la normale des les premiers trains de vendredi matin, indiquent les cff. les travaux de reparation ont ete menes intensivement en gare de renens afin de retablir le trafic le plus rapidement possible. une trentaine de specialistes se sont actives a reparer les cables endommages. une fois cette operation terminee, dans la soiree du jeudi 9 novembre, des tests ont ete effectues en fin de soiree et durant la nuit afin de permettre la reprise de lexploitation ferroviaire, precise la compagnie ferroviaire. les cff investiguent pour trouver ou sont les responsabilites apres la journee de jeudi. des cables indispensables a laiguillage des trains avaient ete sectionnes mercredi soir lors de travaux. sont dans le viseur les concepteurs des plans des travaux ou bien les ouvriers qui uvraient sur le chantier au moment de lincident.",{'schweiz'},{'renens'},neutral,0.6012639999389650,negative,0
la piste de lhomicide refait surface,chute mortelle a bienne (be),"le scenario est celui dun polar. deux suspects avaient ete arretes en septembre dernier apres la chute mortelle dune tunisienne depuis le 7e etage dun immeuble. ils avaient ete relaches rapidement, malgre des circonstances floues et des temoignages evoquant une dispute avec le fils de la victime, juste avant le drame. lenquete sest poursuivie depuis. cinq personnes ont ete interpellees  dont des mineurs  qui nont toutefois jamais ete placees en detention. coup de theatre lundi dernier: de nouvelles constations emanant de lenquete ont conduit a des indices qui consolident lhypothese de lhomicide, indique vendredi la police cantonale bernoise. les deux hommes interpelles le premier jour ont ete a nouveau interpelles et reentendus. il sagit de deux suisses de 18 et 20 ans. a lissue de leur audition, ils ont ete places en detention provisoire. dimportantes investigations se poursuivent sous la direction du ministere public regional jura bernois-seeland et du ministere public des mineurs.",{'schweiz'},{'bienne'},neutral,0.5698127150535580,positive,0
des syndicats bloquent une usine darmements en angleterre,conflit israel-gaza ,"des dizaines de syndicalistes ont bloque vendredi lune des usines du fabricant darmes bae systems dans le sud-est de langleterre, accusant le groupe britannique de fabriquer des composants davions militaires utilises par israel pour bombarder gaza dans la guerre contre le mouvement terroriste hamas. reunis sous la banniere travailleurs pour une palestine libre, les militants ont bloque a partir de 7h du matin les entrees de la fabrique darmes pres de rochester, dans le kent, derriere une banderole les armes fabriquees ici tuent a gaza, a constate lafp. selon les organisateurs, plus de 400 representants des syndicats unite, unison, gmb ou neu travaillant dans lenseignement, la sante ou encore lhotellerie ont participe au blocage, avec des drapeaux palestiniens et des pancartes les contribuables ont du sang sur les mains ou arretez darmer la machine de guerre israelienne. dans un communique, ils ont appele le gouvernement britannique a mettre fin a sa complicite dans les crimes de guerre commis en palestine, en arretant de vendre des armes a israel et en soutenant un cessez-le-feu immediat. ce blocus a ete organise dans le cadre dune journee daction internationale a lappel des syndicats palestiniens, avec des manifestations prevues dans plusieurs pays. en israel, au moins 1200 personnes ont peri depuis le debut de la guerre, selon les autorites, en majorite des civils tues le jour de lattaque terroriste menee par le mouvement islamiste palestinien du hamas le 7 octobre. dans la bande de gaza, pilonnee en riposte depuis plusieurs semaines par larmee israelienne, les bombardements ont fait 10812 morts, selon le hamas. ce bilan est conteste notamment par le president americain joe biden qui a recemment declare navoir aucune preuve que les palestiniens disent la verite au sujet du nombre de personnes tuees. je suis sur que des innocents ont ete tues, et c'est le prix a payer pour faire la guerre. mais je n'ai aucune confiance dans les chiffres utilises par les palestiniens. le groupe britannique bae systems est un geant de larmement, la defense et laeronautique en europe, et travaille sur des programmes de developpement davions de combat, des chars militaires ou encore de sous-marins a propulsion nucleaire.",set(),set(),neutral,0.5476226210594180,positive,0
